"Protein_ID","UniProt_ID","Identity","Alignment_length","E_value","Bit_score","UniProt_accession"
"THZ87709.1","tr|A0ABR0TPJ0|A0ABR0TPJ0_AURPU",85.9,417,1.71e-275,748,"A0ABR0TPJ0"
"THZ87737.1","tr|A0ABR0TQ35|A0ABR0TQ35_AURPU",73.3,592,3.13999999997552e-313,865,"A0ABR0TQ35"
"THZ87766.1","tr|A0ABR0TNS3|A0ABR0TNS3_AURPU",92.1,329,2.54e-219,601,"A0ABR0TNS3"
"THZ87772.1","tr|A0ABR0TNF6|A0ABR0TNF6_AURPU",92.5,572,0,1008,"A0ABR0TNF6"
"THZ87844.1","tr|A0ABR0TJY2|A0ABR0TJY2_AURPU",97.9,284,9.09e-199,544,"A0ABR0TJY2"
"THZ87990.1","tr|A0ABR0TH08|A0ABR0TH08_AURPU",95.6,699,0,1318,"A0ABR0TH08"
"THZ88188.1","tr|A0ABR0TNS0|A0ABR0TNS0_AURPU",84.6,266,5.37e-162,464,"A0ABR0TNS0"
"THZ88314.1","tr|A0ABR0TM93|A0ABR0TM93_AURPU",84.4,666,0,1106,"A0ABR0TM93"
"THZ88419.1","tr|A0ABR0T7P0|A0ABR0T7P0_AURPU",93,383,1.41e-275,746,"A0ABR0T7P0"
"THZ88464.1","tr|A0ABR0T816|A0ABR0T816_AURPU",86.9,565,0,1023,"A0ABR0T816"
"THZ88576.1","tr|A0ABR0TTF6|A0ABR0TTF6_AURPU",89.8,530,0,939,"A0ABR0TTF6"
"THZ88877.1","tr|A0ABR0TBP3|A0ABR0TBP3_AURPU",83.8,284,1.68e-157,437,"A0ABR0TBP3"
"THZ88903.1","tr|A0ABR0TAV2|A0ABR0TAV2_AURPU",76.8,908,0,1392,"A0ABR0TAV2"
"THZ89049.1","tr|A0ABR0TCX4|A0ABR0TCX4_AURPU",74.5,381,5.67e-209,583,"A0ABR0TCX4"
"THZ89118.1","tr|A0ABR0TF02|A0ABR0TF02_AURPU",98.1,418,1.88e-306,828,"A0ABR0TF02"
"THZ89528.1","tr|A0ABR0TTB9|A0ABR0TTB9_AURPU",94.8,425,5.54e-277,755,"A0ABR0TTB9"
"THZ89923.1","tr|A0ABR0TBQ9|A0ABR0TBQ9_AURPU",81.1,312,1.03e-183,509,"A0ABR0TBQ9"
"THZ90315.1","tr|A0ABR0TCC2|A0ABR0TCC2_AURPU",78.1,845,0,1263,"A0ABR0TCC2"
"THZ90319.1","tr|A0ABR0TUQ7|A0ABR0TUQ7_AURPU",90,792,0,1343,"A0ABR0TUQ7"
"THZ90578.1","tr|A0ABR0TIH7|A0ABR0TIH7_AURPU",80.5,550,0,887,"A0ABR0TIH7"
"THZ90640.1","tr|A0ABR0TI61|A0ABR0TI61_AURPU",91.2,580,0,1034,"A0ABR0TI61"
"THZ90745.1","tr|A0ABR0TLI0|A0ABR0TLI0_AURPU",87.8,238,5.64e-153,424,"A0ABR0TLI0"
"THZ90856.1","tr|A0ABR0TLT3|A0ABR0TLT3_AURPU",87,891,0,1454,"A0ABR0TLT3"
"THZ91444.1","tr|A0ABR0TGF0|A0ABR0TGF0_AURPU",71.1,367,4.53e-169,483,"A0ABR0TGF0"
"THZ91575.1","tr|A0ABR0TE09|A0ABR0TE09_AURPU",88.3,695,0,1253,"A0ABR0TE09"
"THZ91989.1","tr|A0ABR0T590|A0ABR0T590_AURPU",82.9,526,0,913,"A0ABR0T590"
"THZ92013.1","tr|A0ABR0TAJ6|A0ABR0TAJ6_AURPU",96.4,581,0,1117,"A0ABR0TAJ6"
"THZ92067.1","tr|A0ABR0TFS1|A0ABR0TFS1_AURPU",92.8,835,0,1561,"A0ABR0TFS1"
"THZ92094.1","tr|A0ABR0T842|A0ABR0T842_AURPU",73.3,958,0,1230,"A0ABR0T842"
"THZ92143.1","tr|A0ABR0TB52|A0ABR0TB52_AURPU",70.3,431,3.16e-197,549,"A0ABR0TB52"
"THZ92293.1","tr|A0ABR0T5S8|A0ABR0T5S8_AURPU",73.1,301,9.94e-137,389,"A0ABR0T5S8"
"THZ92330.1","tr|A0ABR0T5J0|A0ABR0T5J0_AURPU",92.6,725,0,1423,"A0ABR0T5J0"
"THZ93026.1","tr|A0ABR0TSI1|A0ABR0TSI1_AURPU",77.8,1173,0,1436,"A0ABR0TSI1"
"THZ93252.1","tr|A0ABR0TA68|A0ABR0TA68_AURPU",81.6,1125,0,1768,"A0ABR0TA68"
"THZ93256.1","tr|A0ABR0T8W6|A0ABR0T8W6_AURPU",90.6,265,3e-177,492,"A0ABR0T8W6"
"THZ93462.1","tr|A0ABR0T8Z0|A0ABR0T8Z0_AURPU",72.2,1342,3.67e-265,809,"A0ABR0T8Z0"
"THZ93502.1","tr|A0ABR0TNW4|A0ABR0TNW4_AURPU",86.6,478,2.02e-296,807,"A0ABR0TNW4"
"THZ93623.1","tr|A0ABR0TP05|A0ABR0TP05_AURPU",71.5,1214,0,1488,"A0ABR0TP05"
"THZ93688.1","tr|A0ABR0TR14|A0ABR0TR14_AURPU",84.5,264,8.29e-141,395,"A0ABR0TR14"
"THZ94344.1","tr|A0ABR0TIK2|A0ABR0TIK2_AURPU",85,386,2.32e-193,540,"A0ABR0TIK2"
"THZ94393.1","tr|A0ABR0TXG8|A0ABR0TXG8_AURPU",98.5,261,5.32e-181,499,"A0ABR0TXG8"
"THZ94629.1","tr|A0ABR0THT4|A0ABR0THT4_AURPU",83,271,1.23e-162,488,"A0ABR0THT4"
"THZ94670.1","tr|A0ABR0T4H3|A0ABR0T4H3_AURPU",77.9,307,1.45e-155,438,"A0ABR0T4H3"
"THZ94959.1","tr|A0ABR0TVL2|A0ABR0TVL2_AURPU",90.7,410,2.96e-244,669,"A0ABR0TVL2"
"THZ94985.1","tr|A0ABR0T7U4|A0ABR0T7U4_AURPU",95.5,354,1.64e-225,623,"A0ABR0T7U4"
"THZ95003.1","tr|A0ABR0T5G2|A0ABR0T5G2_AURPU",94,700,0,1316,"A0ABR0T5G2"
"THZ95110.1","tr|A0ABR0TA72|A0ABR0TA72_AURPU",88.5,480,0,883,"A0ABR0TA72"
"THZ95169.1","tr|A0ABR0TNH4|A0ABR0TNH4_AURPU",92.4,432,6.69e-229,631,"A0ABR0TNH4"
"THZ95376.1","tr|A0ABR0TQU0|A0ABR0TQU0_AURPU",89.3,317,9.04e-218,594,"A0ABR0TQU0"
"THZ95481.1","tr|A0ABR0T8I3|A0ABR0T8I3_AURPU",83.6,581,0,1008,"A0ABR0T8I3"
"THZ95687.1","tr|A0ABR0TKK5|A0ABR0TKK5_AURPU",83.1,981,0,1655,"A0ABR0TKK5"
"THZ95711.1","tr|A0ABR0TLT8|A0ABR0TLT8_AURPU",82.6,397,4.14e-237,671,"A0ABR0TLT8"
"THZ95745.1","tr|A0ABR0TST8|A0ABR0TST8_AURPU",72.5,236,3.1e-102,295,"A0ABR0TST8"
"THZ95909.1","tr|A0ABR0TM64|A0ABR0TM64_AURPU",78.8,987,0,1545,"A0ABR0TM64"
"THZ96059.1","tr|A0ABR0T6L2|A0ABR0T6L2_AURPU",85.4,932,0,1513,"A0ABR0T6L2"
"THZ96123.1","tr|A0ABR0TQK7|A0ABR0TQK7_AURPU",87,524,0,930,"A0ABR0TQK7"
"THZ96302.1","tr|A0ABR0T966|A0ABR0T966_AURPU",92.2,257,5.19e-171,471,"A0ABR0T966"
"THZ96685.1","tr|A0ABR0TNZ7|A0ABR0TNZ7_AURPU",92.1,304,6.39e-206,564,"A0ABR0TNZ7"
"THZ97458.1","tr|A0ABR0TMQ3|A0ABR0TMQ3_AURPU",79.7,705,0,1129,"A0ABR0TMQ3"
"THZ97625.1","tr|A0ABR0TFW9|A0ABR0TFW9_AURPU",83.4,1779,0,2609,"A0ABR0TFW9"
"THZ97957.1","tr|A0ABR0TLM8|A0ABR0TLM8_AURPU",88.3,376,3.02e-243,668,"A0ABR0TLM8"
"THZ98261.1","tr|A0ABR0TSM4|A0ABR0TSM4_AURPU",85,731,0,1157,"A0ABR0TSM4"
"THZ98541.1","tr|A0ABR0TBV5|A0ABR0TBV5_AURPU",84.5,2520,0,4242,"A0ABR0TBV5"
"THZ98640.1","tr|A0ABR0TR32|A0ABR0TR32_AURPU",80.6,242,8.09e-133,386,"A0ABR0TR32"
"THZ98686.1","tr|A0ABR0TA31|A0ABR0TA31_AURPU",92.9,790,0,1513,"A0ABR0TA31"
"THZ98877.1","tr|A0ABR0T9P8|A0ABR0T9P8_AURPU",75,519,2.57e-270,743,"A0ABR0T9P8"
"THZ98965.1","tr|A0ABR0TCC6|A0ABR0TCC6_AURPU",87.3,584,0,1024,"A0ABR0TCC6"
"THZ99029.1","tr|A0ABR0TD34|A0ABR0TD34_AURPU",76.4,411,9.61e-216,597,"A0ABR0TD34"
"THZ99044.1","tr|A0ABR0TC91|A0ABR0TC91_AURPU",94.1,289,5.56e-188,535,"A0ABR0TC91"
"TIA00511.1","tr|A0ABR0T4K5|A0ABR0T4K5_AURPU",82.2,348,5.07e-192,533,"A0ABR0T4K5"
"TIA00690.1","tr|A0ABR0T7B2|A0ABR0T7B2_AURPU",80,424,3.38e-246,674,"A0ABR0T7B2"
"TIA00705.1","tr|A0ABR0T4U1|A0ABR0T4U1_AURPU",90,359,4.39e-242,662,"A0ABR0T4U1"
"TIA00744.1","tr|A0ABR0TM79|A0ABR0TM79_AURPU",80.8,271,1.45e-158,439,"A0ABR0TM79"
"TIA00912.1","tr|A0ABR0TR65|A0ABR0TR65_AURPU",74,500,5.32e-244,673,"A0ABR0TR65"
"TIA00984.1","tr|A0ABR0TR10|A0ABR0TR10_AURPU",96.9,517,0,979,"A0ABR0TR10"
"TIA01008.1","tr|A0ABR0TRH7|A0ABR0TRH7_AURPU",92.2,550,0,1023,"A0ABR0TRH7"
"TIA01222.1","tr|A0ABR0TG03|A0ABR0TG03_AURPU",82.5,464,2.74e-268,734,"A0ABR0TG03"
"TIA01251.1","tr|A0ABR0T5L9|A0ABR0T5L9_AURPU",91.5,317,5.73e-210,574,"A0ABR0T5L9"
"TIA01459.1","tr|A0ABR0TM23|A0ABR0TM23_AURPU",80.4,648,2.76e-287,798,"A0ABR0TM23"
"TIA01461.1","tr|A0ABR0TM33|A0ABR0TM33_AURPU",93.3,270,2.45e-179,511,"A0ABR0TM33"
"TIA01502.1","tr|A0ABR0TL21|A0ABR0TL21_AURPU",82.4,907,0,1552,"A0ABR0TL21"
"TIA01527.1","tr|A0ABR0TL19|A0ABR0TL19_AURPU",76.3,1648,0,2363,"A0ABR0TL19"
"TIA01641.1","tr|A0ABR0TSC8|A0ABR0TSC8_AURPU",82.4,323,1.05e-187,538,"A0ABR0TSC8"
"TIA01722.1","tr|A0ABR0TBJ3|A0ABR0TBJ3_AURPU",95.6,317,5.46e-225,615,"A0ABR0TBJ3"
"TIA01813.1","tr|A0ABR0TKF6|A0ABR0TKF6_AURPU",88.5,524,0,945,"A0ABR0TKF6"
"TIA01899.1","tr|A0ABR0TEB5|A0ABR0TEB5_AURPU",85.9,269,6.77e-131,375,"A0ABR0TEB5"
"TIA01900.1","tr|A0ABR0TEE1|A0ABR0TEE1_AURPU",76.9,728,0,1089,"A0ABR0TEE1"
"TIA01958.1","tr|A0ABR0TE75|A0ABR0TE75_AURPU",89.5,533,2.6e-305,865,"A0ABR0TE75"
"TIA02073.1","tr|A0ABR0TJG9|A0ABR0TJG9_AURPU",89.4,443,1.33e-297,808,"A0ABR0TJG9"
"TIA02600.1","tr|A0ABR0TLY4|A0ABR0TLY4_AURPU",81,294,5.7e-131,371,"A0ABR0TLY4"
"TIA02662.1","tr|A0ABR0TR77|A0ABR0TR77_AURPU",86.2,1161,0,1781,"A0ABR0TR77"
"TIA02912.1","tr|A0ABR0TF48|A0ABR0TF48_AURPU",80.5,595,2.32999876381794e-318,871,"A0ABR0TF48"
"TIA02953.1","tr|A0ABR0TBC6|A0ABR0TBC6_AURPU",97.2,282,1.48e-201,557,"A0ABR0TBC6"
"TIA03019.1","tr|A0ABR0T5W0|A0ABR0T5W0_AURPU",94.9,313,9.84e-218,600,"A0ABR0T5W0"
"TIA03029.1","tr|A0ABR0T656|A0ABR0T656_AURPU",80.6,774,0,1268,"A0ABR0T656"
"TIA03095.1","tr|A0ABR0TDI6|A0ABR0TDI6_AURPU",79.7,291,6.89e-177,490,"A0ABR0TDI6"
"TIA03328.1","tr|A0ABR0THP0|A0ABR0THP0_AURPU",84.6,781,0,1199,"A0ABR0THP0"
"TIA03683.1","tr|A0ABR0TCU9|A0ABR0TCU9_AURPU",83,318,1e-189,524,"A0ABR0TCU9"
"TIA03699.1","tr|A0ABR0TDG1|A0ABR0TDG1_AURPU",75.7,465,5.33e-238,661,"A0ABR0TDG1"
"TIA03707.1","tr|A0ABR0TCE1|A0ABR0TCE1_AURPU",89.8,480,2.97000003793084e-317,859,"A0ABR0TCE1"
"TIA03757.1","tr|A0ABR0T7Z3|A0ABR0T7Z3_AURPU",87.3,591,0,1026,"A0ABR0T7Z3"
"TIA03860.1","tr|A0ABR0TJJ7|A0ABR0TJJ7_AURPU",79.9,369,3.68e-216,593,"A0ABR0TJJ7"
"TIA03883.1","tr|A0ABR0TJD1|A0ABR0TJD1_AURPU",70.7,345,1.73e-159,449,"A0ABR0TJD1"
"TIA04010.1","tr|A0ABR0TBI7|A0ABR0TBI7_AURPU",84.8,473,5.38e-276,755,"A0ABR0TBI7"
"TIA04109.1","tr|A0ABR0TCR8|A0ABR0TCR8_AURPU",78.6,1422,0,1623,"A0ABR0TCR8"
"TIA04214.1","tr|A0ABR0TGZ3|A0ABR0TGZ3_AURPU",76.2,529,5.03e-272,745,"A0ABR0TGZ3"
"TIA04215.1","tr|A0ABR0TGY8|A0ABR0TGY8_AURPU",91.3,494,0,902,"A0ABR0TGY8"
"TIA04259.1","tr|A0ABR0TTA9|A0ABR0TTA9_AURPU",74.5,368,2.66e-112,332,"A0ABR0TTA9"
"TIA04664.1","tr|A0ABR0TU20|A0ABR0TU20_AURPU",90.7,376,1.42e-228,627,"A0ABR0TU20"
"TIA04706.1","tr|A0ABR0TKR1|A0ABR0TKR1_AURPU",89.6,626,0,1143,"A0ABR0TKR1"
"TIA04762.1","tr|A0ABR0TQ51|A0ABR0TQ51_AURPU",79.3,343,1.31e-173,492,"A0ABR0TQ51"
"TIA04778.1","tr|A0ABR0TP69|A0ABR0TP69_AURPU",87.6,234,4.02e-141,393,"A0ABR0TP69"
"TIA04781.1","tr|A0ABR0TQ16|A0ABR0TQ16_AURPU",97.2,361,8.02e-251,684,"A0ABR0TQ16"
"TIA04791.1","tr|A0ABR0TP76|A0ABR0TP76_AURPU",85.6,849,0,1343,"A0ABR0TP76"
"TIA04939.1","tr|A0ABR0TE64|A0ABR0TE64_AURPU",74.6,485,2.77e-245,678,"A0ABR0TE64"
"TIA04948.1","tr|A0ABR0TEM8|A0ABR0TEM8_AURPU",90.2,521,0,942,"A0ABR0TEM8"
"TIA05471.1","tr|A0ABR0TW95|A0ABR0TW95_AURPU",72.2,259,2.77e-145,407,"A0ABR0TW95"
"TIA05522.1","tr|A0ABR0TVD4|A0ABR0TVD4_AURPU",77.5,373,2.61e-192,536,"A0ABR0TVD4"
"TIA05210.1","tr|A0ABR0TPB5|A0ABR0TPB5_AURPU",94.9,292,2.47e-196,539,"A0ABR0TPB5"
"TIA05928.1","tr|A0ABR0TG83|A0ABR0TG83_AURPU",80.6,628,0,1013,"A0ABR0TG83"
"TIA06153.1","tr|A0ABR0TL68|A0ABR0TL68_AURPU",89,1585,0,2776,"A0ABR0TL68"
"TIA06696.1","tr|A0ABR0TX25|A0ABR0TX25_AURPU",95.4,1342,0,2534,"A0ABR0TX25"
"TIA07415.1","tr|A0ABR0TEU9|A0ABR0TEU9_AURPU",79.6,642,0,991,"A0ABR0TEU9"
"TIA07416.1","tr|A0ABR0TEV9|A0ABR0TEV9_AURPU",80.1,667,0,963,"A0ABR0TEV9"
"TIA07521.1","tr|A0ABR0T9N1|A0ABR0T9N1_AURPU",94.3,420,9.42999999999999e-299,808,"A0ABR0T9N1"
"TIA09044.1","tr|A0ABR0T557|A0ABR0T557_AURPU",92.7,957,0,1758,"A0ABR0T557"
"TIA09291.1","tr|A0ABR0TA68|A0ABR0TA68_AURPU",72.4,1125,0,1507,"A0ABR0TA68"
"TIA10550.1","tr|A0ABR0TF40|A0ABR0TF40_AURPU",71.6,363,1.16e-177,494,"A0ABR0TF40"
"TIA10985.1","tr|A0ABR0TA35|A0ABR0TA35_AURPU",79.8,784,0,1299,"A0ABR0TA35"
"TIA11588.1","tr|A0ABR0T6E4|A0ABR0T6E4_AURPU",80.7,550,0,885,"A0ABR0T6E4"
"TIA11594.1","tr|A0ABR0TA38|A0ABR0TA38_AURPU",80.3,554,0,969,"A0ABR0TA38"
"TIA11603.1","tr|A0ABR0TCC2|A0ABR0TCC2_AURPU",77.3,952,0,1420,"A0ABR0TCC2"
"TIA12786.1","tr|A0ABR0THB3|A0ABR0THB3_AURPU",85.8,571,0,931,"A0ABR0THB3"
"TIA13228.1","tr|A0ABR0TDS2|A0ABR0TDS2_AURPU",80.5,565,1.24000595793236e-319,870,"A0ABR0TDS2"
"TIA13803.1","tr|A0ABR0TTD0|A0ABR0TTD0_AURPU",83.8,284,1.02e-160,448,"A0ABR0TTD0"
"TIA14893.1","tr|A0ABR0TM90|A0ABR0TM90_AURPU",79.1,225,6.23e-129,360,"A0ABR0TM90"
"TIA15157.1","tr|A0ABR0TBM1|A0ABR0TBM1_AURPU",83.1,362,1.99e-220,609,"A0ABR0TBM1"
"TIA15158.1","tr|A0ABR0TM07|A0ABR0TM07_AURPU",86.6,499,1.55999997450915e-316,861,"A0ABR0TM07"
"TIA15302.1","tr|A0ABR0TU80|A0ABR0TU80_AURPU",80.5,522,4.48e-282,772,"A0ABR0TU80"
"TIA15405.1","tr|A0ABR0TFR7|A0ABR0TFR7_AURPU",70.2,755,0,1059,"A0ABR0TFR7"
"TIA16021.1","tr|A0ABR0T4H1|A0ABR0T4H1_AURPU",70,387,4.63e-198,564,"A0ABR0T4H1"
"TIA17835.1","tr|A0ABR0T700|A0ABR0T700_AURPU",71.2,524,1.69e-283,776,"A0ABR0T700"
"TIA18892.1","tr|A0ABR0T7M8|A0ABR0T7M8_AURPU",72.4,1523,0,1748,"A0ABR0T7M8"
"TIA18901.1","tr|A0ABR0TT86|A0ABR0TT86_AURPU",73.3,225,3.07e-115,327,"A0ABR0TT86"
"TIA21358.1","tr|A0ABR0TB52|A0ABR0TB52_AURPU",79.5,429,2.04e-234,644,"A0ABR0TB52"
"TIA21706.1","tr|A0ABR0TSQ1|A0ABR0TSQ1_AURPU",84,388,2.26e-243,667,"A0ABR0TSQ1"
"TIA23204.1","tr|A0ABR0TQA4|A0ABR0TQA4_AURPU",90.1,423,1.34e-287,781,"A0ABR0TQA4"
"TIA23617.1","tr|A0ABR0TGG6|A0ABR0TGG6_AURPU",82.6,357,2.92e-212,585,"A0ABR0TGG6"
"TIA24818.1","tr|A0ABR0TEP2|A0ABR0TEP2_AURPU",84.7,570,0,943,"A0ABR0TEP2"
"TIA24948.1","tr|A0ABR0T828|A0ABR0T828_AURPU",92.5,587,0,1086,"A0ABR0T828"
"TIA25149.1","tr|A0ABR0TM91|A0ABR0TM91_AURPU",86.4,338,1.85e-185,513,"A0ABR0TM91"
"TIA25560.1","tr|A0ABR0T7P2|A0ABR0T7P2_AURPU",73.7,399,1.92e-216,597,"A0ABR0T7P2"
"TIA25629.1","tr|A0ABR0TA83|A0ABR0TA83_AURPU",95.7,208,1.14e-138,391,"A0ABR0TA83"
"TIA26281.1","tr|A0ABR0TD14|A0ABR0TD14_AURPU",77.4,371,1.04e-213,589,"A0ABR0TD14"
"TIA26306.1","tr|A0ABR0T9I6|A0ABR0T9I6_AURPU",81.4,617,0,940,"A0ABR0T9I6"
"TIA26600.1","tr|A0ABR0TBY1|A0ABR0TBY1_AURPU",85.2,454,3.98e-278,766,"A0ABR0TBY1"
"TIA26712.1","tr|A0ABR0TFQ0|A0ABR0TFQ0_AURPU",80.7,895,0,1217,"A0ABR0TFQ0"
"TIA27082.1","tr|A0ABR0TMT9|A0ABR0TMT9_AURPU",81.9,365,3.08e-200,553,"A0ABR0TMT9"
"TIA44717.1","tr|A0ABR0T818|A0ABR0T818_AURPU",94.8,478,0,873,"A0ABR0T818"
"TIA45559.1","tr|A0ABR0TDE4|A0ABR0TDE4_AURPU",91.1,304,2.24e-204,560,"A0ABR0TDE4"
"TIA46742.1","tr|A0ABR0TH04|A0ABR0TH04_AURPU",92,661,0,1145,"A0ABR0TH04"
"TIA46763.1","tr|A0ABR0TD71|A0ABR0TD71_AURPU",88.8,240,3.33e-157,441,"A0ABR0TD71"
"TIA47407.1","tr|A0ABR0T548|A0ABR0T548_AURPU",76.4,437,9.88e-218,613,"A0ABR0T548"
"TIA47480.1","tr|A0ABR0TQ59|A0ABR0TQ59_AURPU",83.3,533,0,893,"A0ABR0TQ59"
"TIA48536.1","tr|A0ABR0TCT1|A0ABR0TCT1_AURPU",77.4,1281,0,1751,"A0ABR0TCT1"
"TIA48820.1","tr|A0ABR0TE95|A0ABR0TE95_AURPU",77.4,349,2.6e-203,559,"A0ABR0TE95"
"TIA49009.1","tr|A0ABR0TKU5|A0ABR0TKU5_AURPU",80.4,1343,0,2016,"A0ABR0TKU5"
"TIA49137.1","tr|A0ABR0TLA4|A0ABR0TLA4_AURPU",78.7,428,5.36e-245,671,"A0ABR0TLA4"
"TIA49185.1","tr|A0ABR0TRC5|A0ABR0TRC5_AURPU",71.9,256,7.08e-123,366,"A0ABR0TRC5"
"TIA49548.1","tr|A0ABR0THN4|A0ABR0THN4_AURPU",91.9,458,1.0099999999981e-312,853,"A0ABR0THN4"
"TIA49748.1","tr|A0ABR0TBH4|A0ABR0TBH4_AURPU",91.1,482,0,897,"A0ABR0TBH4"
"TIA49865.1","tr|A0ABR0TFG7|A0ABR0TFG7_AURPU",81.9,2343,0,3885,"A0ABR0TFG7"
"TIA49920.1","tr|A0ABR0TT15|A0ABR0TT15_AURPU",94,717,0,1304,"A0ABR0TT15"
"TIA50083.1","tr|A0ABR0T5B2|A0ABR0T5B2_AURPU",78.5,414,9.56e-220,620,"A0ABR0T5B2"
"TIA50196.1","tr|A0ABR0TFA9|A0ABR0TFA9_AURPU",96.2,344,1.6e-237,650,"A0ABR0TFA9"
"TIA50843.1","tr|A0ABR0TGU0|A0ABR0TGU0_AURPU",81.8,391,1.54e-248,679,"A0ABR0TGU0"
"TIA51670.1","tr|A0ABR0TIH4|A0ABR0TIH4_AURPU",90,1758,0,3085,"A0ABR0TIH4"
"TIA52472.1","tr|A0ABR0TLT1|A0ABR0TLT1_AURPU",84.1,1180,0,1863,"A0ABR0TLT1"
"TIA52921.1","tr|A0ABR0TJE6|A0ABR0TJE6_AURPU",99.7,330,4.8e-218,596,"A0ABR0TJE6"
"TIA54335.1","tr|A0ABR0T983|A0ABR0T983_AURPU",79.9,283,1.53e-147,420,"A0ABR0T983"
"TIA54446.1","tr|A0ABR0TLF2|A0ABR0TLF2_AURPU",87.3,221,1.59e-139,393,"A0ABR0TLF2"
"TIA54612.1","tr|A0ABR0TSK8|A0ABR0TSK8_AURPU",87,601,0,999,"A0ABR0TSK8"
"TIA55020.1","tr|A0ABR0TX23|A0ABR0TX23_AURPU",80.3,269,9.31e-142,399,"A0ABR0TX23"
"TIA56163.1","tr|A0ABR0T6I7|A0ABR0T6I7_AURPU",85.2,567,0,959,"A0ABR0T6I7"
"TIA56245.1","tr|A0ABR0T8N0|A0ABR0T8N0_AURPU",77.9,484,2.34e-267,731,"A0ABR0T8N0"
"TIA56486.1","tr|A0ABR0T8W2|A0ABR0T8W2_AURPU",95.2,290,1.04e-199,550,"A0ABR0T8W2"
"TIA56525.1","tr|A0ABR0T9I3|A0ABR0T9I3_AURPU",89.7,1308,0,2219,"A0ABR0T9I3"
"TIA56729.1","tr|A0ABR0TMA3|A0ABR0TMA3_AURPU",87.1,371,7e-235,645,"A0ABR0TMA3"
"TIA56992.1","tr|A0ABR0T4K9|A0ABR0T4K9_AURPU",91.4,280,2.46e-175,526,"A0ABR0T4K9"
"TIA57412.1","tr|A0ABR0T5Z1|A0ABR0T5Z1_AURPU",83.8,277,7.31e-179,498,"A0ABR0T5Z1"
"TIA57651.1","tr|A0ABR0TEP2|A0ABR0TEP2_AURPU",84.6,571,0,944,"A0ABR0TEP2"
"TIA58073.1","tr|A0ABR0T4E9|A0ABR0T4E9_AURPU",71.7,276,1.38e-135,382,"A0ABR0T4E9"
"TIA58076.1","tr|A0ABR0TTS3|A0ABR0TTS3_AURPU",80.3,305,1.09e-177,496,"A0ABR0TTS3"
"TIA58248.1","tr|A0ABR0TU34|A0ABR0TU34_AURPU",87.5,432,4.74e-271,754,"A0ABR0TU34"
"TIA58335.1","tr|A0ABR0TBP4|A0ABR0TBP4_AURPU",84.6,298,7.53e-181,501,"A0ABR0TBP4"
"TIA58472.1","tr|A0ABR0TUE5|A0ABR0TUE5_AURPU",75.6,657,0,994,"A0ABR0TUE5"
"TIA58658.1","tr|A0ABR0TTS3|A0ABR0TTS3_AURPU",74.2,217,2.67e-112,323,"A0ABR0TTS3"
"TIA59294.1","tr|A0ABR0TSI5|A0ABR0TSI5_AURPU",86.1,664,0,1113,"A0ABR0TSI5"
"TIA59510.1","tr|A0ABR0TDK8|A0ABR0TDK8_AURPU",88.7,488,0,922,"A0ABR0TDK8"
"TIA60027.1","tr|A0ABR0TQN6|A0ABR0TQN6_AURPU",97.1,349,1.4e-247,672,"A0ABR0TQN6"
"TIA60164.1","tr|A0ABR0TWD7|A0ABR0TWD7_AURPU",94,265,7.63e-183,502,"A0ABR0TWD7"
"TIA60447.1","tr|A0ABR0T8P3|A0ABR0T8P3_AURPU",77.4,243,9.49e-125,353,"A0ABR0T8P3"
"TIA60940.1","tr|A0ABR0TWI4|A0ABR0TWI4_AURPU",81.8,638,0,988,"A0ABR0TWI4"
"TIA61220.1","tr|A0ABR0TEG7|A0ABR0TEG7_AURPU",82.7,611,0,987,"A0ABR0TEG7"
"TIA61272.1","tr|A0ABR0TTQ7|A0ABR0TTQ7_AURPU",81.6,495,2.37e-302,832,"A0ABR0TTQ7"
"TIA61284.1","tr|A0ABR0TVI5|A0ABR0TVI5_AURPU",90.2,418,1.03e-277,768,"A0ABR0TVI5"
"TIA61327.1","tr|A0ABR0TB58|A0ABR0TB58_AURPU",89.1,841,0,1447,"A0ABR0TB58"
"TIA61813.1","tr|A0ABR0TAX1|A0ABR0TAX1_AURPU",76.4,309,4.23e-181,499,"A0ABR0TAX1"
"TIA62108.1","tr|A0ABR0TLE2|A0ABR0TLE2_AURPU",81.2,591,0,963,"A0ABR0TLE2"
"TIA62153.1","tr|A0ABR0T9F1|A0ABR0T9F1_AURPU",76.5,762,0,1182,"A0ABR0T9F1"
"TIA62281.1","tr|A0ABR0TKP9|A0ABR0TKP9_AURPU",72.7,245,3.84e-133,373,"A0ABR0TKP9"
"TIA62493.1","tr|A0ABR0TMC5|A0ABR0TMC5_AURPU",76.4,619,0,903,"A0ABR0TMC5"
"TIA62555.1","tr|A0ABR0TV54|A0ABR0TV54_AURPU",84,294,3.42e-178,494,"A0ABR0TV54"
"TIA62568.1","tr|A0ABR0TUE2|A0ABR0TUE2_AURPU",93.9,379,1.49e-270,732,"A0ABR0TUE2"
"TIA62628.1","tr|A0ABR0TH79|A0ABR0TH79_AURPU",86.7,1430,0,2311,"A0ABR0TH79"
"TIA62690.1","tr|A0ABR0TF93|A0ABR0TF93_AURPU",93.5,385,2.59e-252,706,"A0ABR0TF93"
"TIA62946.1","tr|A0ABR0TC66|A0ABR0TC66_AURPU",84.4,423,1.63e-248,696,"A0ABR0TC66"
