UniProt_accession,Protein_name,Gene,Length
A0ABR0TSB5,Uncharacterized protein,QM012_006157,213
A0ABR0TSE9,Ras-GAP domain-containing protein,QM012_005793,783
A0ABR0TSI3,BZIP domain-containing protein,QM012_006202,359
A0ABR0TSS7,C2 domain-containing protein,QM012_006219,1340
A0ABR0TTX6,Uncharacterized protein,QM012_004676,1089
A0ABR0TUM1,Zn(2)-C6 fungal-type domain-containing protein,QM012_004685,365
A0ABR0TV46,NGG1p interacting factor 3,QM012_000259,339
A0ABR0TVG5,VHS domain-containing protein,QM012_000351,406
A0ABR0TVJ6,Eukaryotic translation initiation factor 3 subunit F,QM012_004710,342
A0ABR0TW69,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]",QM012_000566,312
A0ABR0TW91,2-dehydropantoate 2-reductase,QM012_000606,419
A0ABR0TWF4,Chloride channel protein,QM012_000712,918
A0ABR0TWS5,SURP motif domain-containing protein,QM012_000268,513
A0ABR0TWT1,Cercosporin MFS transporter CTB4,QM012_000554,590
A0ABR0TXJ0,phosphoadenylyl-sulfate reductase (thioredoxin),QM012_000609,296
A0ABR0TXS7,Uncharacterized protein,QM012_000683,335
A0ABR0T4J1,2-methylcitrate dehydratase PrpD,QM012_005574,449
A0ABR0T509,Bromo domain-containing protein,QM012_005430,879
A0ABR0T5F6,PRELI/MSF1 domain-containing protein,QM012_005284,255
A0ABR0T5S4,Ubiquitin-like domain-containing protein,QM012_005184,230
A0ABR0T650,Replication factor C subunit 1,QM012_005437,1018
A0ABR0T6A8,SWR1-complex protein 3 domain-containing protein,QM012_005030,631
A0ABR0T6G3,Ammonium transporter AmtB-like domain-containing protein,QM012_004018,454
A0ABR0T6T1,Uncharacterized protein,QM012_004141,239
A0ABR0T6T6,non-specific serine/threonine protein kinase,QM012_004131,829
A0ABR0T714,Methionine aminopeptidase,QM012_003855,400
A0ABR0T769,Enoyl reductase (ER) domain-containing protein,QM012_003920,342
A0ABR0T796,GroES-like protein,QM012_005065,371
A0ABR0T7C6,Protein YOP1,QM012_003970,339
A0ABR0T7D9,J domain-containing protein,QM012_004929,415
A0ABR0T7P1,SWR1-complex protein 4,QM012_003714,532
A0ABR0T824,Flavin reductase like domain-containing protein,QM012_003303,183
A0ABR0T869,BD-FAE-like domain-containing protein,QM012_003817,301
A0ABR0T8A7,DUF7779 domain-containing protein,QM012_003393,514
A0ABR0T932,PA14 domain-containing protein,QM012_003547,653
A0ABR0T9P2,Alpha-L-rhamnosidase six-hairpin glycosidase domain-containing protein,QM012_003441,718
A0ABR0T9R6,non-specific serine/threonine protein kinase,QM012_003471,832
A0ABR0T9T1,Histone-fold-containing protein,QM012_003486,201
A0ABR0T9U6,Arabinanase/levansucrase/invertase,QM012_003284,330
A0ABR0TA22,Serine hydroxymethyltransferase,QM012_003555,518
A0ABR0TAA2,USP domain-containing protein,QM012_002697,511
A0ABR0TAQ0,NAD(P)-binding protein,QM012_003123,276
A0ABR0TAT0,Uncharacterized protein,QM012_002877,275
A0ABR0TB81,arginine--tRNA ligase,QM012_002571,644
A0ABR0TBD2,Electron transfer flavoprotein-ubiquinone oxidoreductase,QM012_002248,635
A0ABR0TBQ2,FMN hydroxy acid dehydrogenase domain-containing protein,QM012_002164,385
A0ABR0TBQ4,Pullulan synthetase,QM012_002369,179
A0ABR0TBT5,Carboxylic ester hydrolase,QM012_002396,306
A0ABR0TC13,"Exo-1,3-beta-glucanase D",QM012_002471,486
A0ABR0TC65,Protein kinase domain-containing protein,QM012_002901,486
A0ABR0TDR9,FHA domain-containing protein,QM012_001714,513
A0ABR0TED0,Apple domain-containing protein,QM012_001533,2263
A0ABR0TEL1,Fe-S cluster assembly protein DRE2,QM012_001616,340
A0ABR0TF79,Uncharacterized protein,QM012_001517,397
A0ABR0TFJ2,Beta-lactamase-related domain-containing protein,QM012_001039,422
A0ABR0TFK1,Aquaporin,QM012_001054,451
A0ABR0TGG6,Rhodopsin domain-containing protein,QM012_009312,361
A0ABR0TGK0,Uncharacterized protein,QM012_009325,205
A0ABR0THA1,alpha-L-rhamnosidase,QM012_009273,999
A0ABR0THU1,Uncharacterized protein,QM012_009306,432
A0ABR0THZ2,ABC transporter permease,QM012_008903,125
A0ABR0TI26,DUF7721 domain-containing protein,QM012_008949,367
A0ABR0TI35,Beach-domain-containing protein,QM012_009558,2573
A0ABR0TJ09,Uncharacterized protein,QM012_008241,399
A0ABR0TJ47,CipC-like antibiotic response protein,QM012_008333,128
A0ABR0TJ49,NAD(P)-binding protein,QM012_009119,310
A0ABR0TJJ1,Aminoglycoside phosphotransferase domain-containing protein,QM012_008921,373
A0ABR0TJP5,cyclin-dependent kinase,QM012_008419,394
A0ABR0TJS9,Ca3427-like PBP 2 domain-containing protein,QM012_008249,296
A0ABR0TK76,Extracellular membrane protein CFEM domain-containing protein,QM012_007639,235
A0ABR0TKK8,PH domain-containing protein,QM012_007731,279
A0ABR0TKP1,Uncharacterized protein,QM012_008308,314
A0ABR0TKR1,Acetyl-CoA synthetase-like protein,QM012_007797,626
A0ABR0TKV1,Cryptic loci regulator 2 N-terminal domain-containing protein,QM012_008639,245
A0ABR0TKW5,DUF1765-domain-containing protein,QM012_008397,863
A0ABR0TKY8,Uncharacterized protein,QM012_008447,518
A0ABR0TL42,Palmitoyltransferase,QM012_007908,570
A0ABR0TLA3,SnoaL-like domain-containing protein,QM012_007813,209
A0ABR0TLI0,DUF7719 domain-containing protein,QM012_007725,238
A0ABR0TLP1,cystathionine gamma-lyase,QM012_007856,402
A0ABR0TLV8,F-box domain-containing protein,QM012_007070,183
A0ABR0TM74,Leucine carboxyl methyltransferase 1,QM012_007965,381
A0ABR0TM83,Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein,QM012_007195,572
A0ABR0TN11,Uncharacterized protein,QM012_008080,249
A0ABR0TND5,Aromatic prenyltransferase,QM012_006363,415
A0ABR0TNP6,Glycoside hydrolase,QM012_007338,930
A0ABR0TNR4,Orc1-like AAA ATPase domain-containing protein,QM012_006471,551
A0ABR0TPC7,Leo1-domain-containing protein,QM012_006681,503
A0ABR0TPE0,IMP-specific 5'-nucleotidase 1,QM012_006402,401
A0ABR0TPH4,Glycoside hydrolase,QM012_006569,475
A0ABR0TPP7,DUF4045 domain-containing protein,QM012_006722,837
A0ABR0TQA2,NAD(P)-binding protein,QM012_006854,465
A0ABR0TQX1,Uncharacterized protein,QM012_006686,404
A0ABR0TR09,DWNN-domain-containing protein,QM012_005867,624
A0ABR0TRB4,COP9 signalosome complex subunit 3,QM012_005860,482
A0ABR0TRC8,CORD and CS domain protein,QM012_006900,312
A0ABR0TRT2,F-box domain-containing protein,QM012_006156,380
A0ABR0TSJ7,RING-type domain-containing protein,QM012_004239,1410
A0ABR0TSS1,HAD superfamily hydrolase,QM012_004313,274
A0ABR0TSS5,VIT-domain-containing protein,QM012_005978,913
A0ABR0TTE0,chitin synthase,QM012_004523,1082
A0ABR0TTF4,NADP-dependent oxidoreductase domain-containing protein,QM012_004570,348
A0ABR0TTL5,Cyclin-domain-containing protein,QM012_004645,314
A0ABR0TU00,Actin/actin-like protein,QM012_004189,389
A0ABR0TUA7,DENN-domain-containing protein,QM012_004897,1099
A0ABR0TUI9,PCI domain-containing protein,QM012_004369,494
A0ABR0TUW1,Pre-rRNA-processing protein,QM012_004833,340
A0ABR0TUZ1,Nucleoporin-domain-containing protein,QM012_004863,1370
A0ABR0TV51,Mitochondrial import receptor subunit TOM20,QM012_004786,172
A0ABR0TVE6,C4-dicarboxylate transporter/malic acid transport protein,QM012_000260,432
A0ABR0TVN5,Uncharacterized protein,QM012_004755,1172
A0ABR0TVQ9,DUF202 domain-containing protein,QM012_000365,148
A0ABR0TVR8,DUF1295-domain-containing protein,QM012_000468,351
A0ABR0TWI6,Phenol 2-monooxygenase,QM012_000174,636
A0ABR0TWW6,Arabinanase/levansucrase/invertase,QM012_000248,745
A0ABR0TXG0,Dihydrodipicolinate synthase,QM012_000583,310
A0A4S9RW46,Histone H3,QM012_008594,136
A0ABR0T4E2,Mediator of RNA polymerase II transcription subunit 13,QM012_005609,1398
A0ABR0T5C2,Uncharacterized protein,QM012_005286,256
A0ABR0T5Y5,Uncharacterized protein,QM012_004923,246
A0ABR0T5Z3,Histone chaperone domain-containing protein,QM012_005133,159
A0ABR0T6B8,Uncharacterized protein,QM012_005071,90
A0ABR0T6H5,Uncharacterized protein,QM012_004037,78
A0ABR0T6U9,ABC transporter domain-containing protein,QM012_004153,871
A0ABR0T715,HD domain-containing protein,QM012_005127,242
A0ABR0T770,NAD(P)-binding domain-containing protein,QM012_005035,231
A0ABR0T7M5,rRNA-processing protein EFG1,QM012_003699,263
A0ABR0T7R2,HMA domain-containing protein,QM012_003727,79
A0ABR0T7T1,Uncharacterized protein,QM012_003742,149
A0ABR0T835,Arabinanase/levansucrase/invertase,QM012_003326,375
A0ABR0T859,Protein EFR3,QM012_003675,1114
A0ABR0T8P0,Elongation factor 1 gamma,QM012_003535,229
A0ABR0T8P7,Exonuclease domain-containing protein,QM012_003938,608
A0ABR0T8Q1,Uncharacterized protein,QM012_003412,158
A0ABR0T9B2,Ribosomal RNA-processing protein 8,QM012_003762,523
A0ABR0T9S6,MARVEL domain-containing protein,QM012_003266,321
A0ABR0TAE6,Enolase-phosphatase E1,UTR4,254
A0ABR0TAW8,NEDD8-conjugating enzyme UBC12,QM012_002922,183
A0ABR0TB56,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_002170,529
A0ABR0TBS0,MYND-type domain-containing protein,QM012_002384,390
A0ABR0TBY5,Gluconate 5-dehydrogenase,QM012_002443,280
A0ABR0TBY8,Galactokinase,QM012_002254,520
A0ABR0TCD9,Uncharacterized protein,QM012_002166,304
A0ABR0TCN0,Riboflavin synthase,QM012_001690,233
A0ABR0TCX0,Nucleolar protein 12,QM012_002315,572
A0ABR0TD66,Uncharacterized protein,QM012_002025,146
A0ABR0TD75,E2 ubiquitin-conjugating enzyme,QM012_002371,279
A0ABR0TE61,Alb1-domain-containing protein,QM012_001450,187
A0ABR0TE76,Nucleoporin Nup54 alpha-helical domain-containing protein,QM012_001879,278
A0ABR0TEB6,RRM domain-containing protein,QM012_001518,417
A0ABR0TEL8,AB hydrolase-1 domain-containing protein,QM012_001614,356
A0ABR0TER1,C2H2-type domain-containing protein,QM012_001649,484
A0ABR0TEW3,MARVEL domain-containing protein,QM012_001230,227
A0ABR0TEW9,Uncharacterized protein,QM012_000818,442
A0ABR0TF05,BTB domain-containing protein,QM012_000863,426
A0ABR0TFA1,Uncharacterized protein,QM012_001684,164
A0ABR0TFB3,Uncharacterized protein,QM012_001461,767
A0ABR0TFG6,Uncharacterized protein,QM012_001026,555
A0ABR0TGH1,beta-galactosidase,QM012_001062,989
A0ABR0TGM5,non-specific serine/threonine protein kinase,QM012_000960,1061
A0ABR0TGZ1,ENTH domain-containing protein,QM012_009474,461
A0ABR0TH95,Expansin-like EG45 domain-containing protein,QM012_009187,242
A0ABR0THK2,Orc1-like AAA ATPase domain-containing protein,QM012_008769,454
A0ABR0THP6,Uncharacterized protein,QM012_008717,101
A0ABR0TIL4,Protein transport protein sec16,QM012_009129,2020
A0ABR0TIU6,N-acetyltransferase domain-containing protein,QM012_008230,165
A0ABR0TJ39,Uncharacterized protein,QM012_008820,180
A0ABR0TJ42,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_008335,456
A0ABR0TJ60,Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein,QM012_008801,874
A0ABR0TJF5,Uncharacterized protein,QM012_009102,136
A0ABR0TJI6,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_009076,497
A0ABR0TJK6,Spindle pole body component,QM012_008498,876
A0ABR0TJP1,Uncharacterized protein,QM012_008499,248
A0ABR0TKC7,Origin recognition complex subunit 4,QM012_008188,748
A0ABR0TKG5,BCS1 N-terminal domain-containing protein,QM012_008233,325
A0ABR0TL50,TAFII28-like protein domain-containing protein,QM012_007753,342
A0ABR0TLN6,Malate/L-lactate dehydrogenase,QM012_008041,356
A0ABR0TLP7,V-type proton ATPase subunit H,QM012_008142,480
A0ABR0TLU5,Protein kinase domain-containing protein,QM012_007060,1951
A0ABR0TM27,Uncharacterized protein,QM012_007734,418
A0ABR0TM56,Probable endonuclease LCL3,QM012_007170,886
A0ABR0TMB4,N-acetyltransferase domain-containing protein,QM012_008158,218
A0ABR0TMC6,MFS general substrate transporter,QM012_007238,535
A0ABR0TMM7,CN hydrolase domain-containing protein,QM012_007945,283
A0ABR0TMY4,Protein SQS1,QM012_007440,777
A0ABR0TN28,General stress protein FMN-binding split barrel domain-containing protein,QM012_007291,209
A0ABR0TNE9,Apple domain-containing protein,QM012_007504,1205
A0ABR0TNK0,ubiquitinyl hydrolase 1,QM012_007364,1185
A0ABR0TNM4,UspA domain-containing protein,QM012_006448,566
A0ABR0TP91,F-box domain-containing protein,QM012_006683,323
A0ABR0TPL1,"Calcium uniporter protein, mitochondrial",QM012_006799,883
A0ABR0TPN1,F-box domain-containing protein,QM012_007532,526
A0ABR0TPN2,Dihydroxy-acid and 6-phosphogluconate dehydratase,QM012_007483,604
A0ABR0TPU1,PIPK domain-containing protein,QM012_006860,356
A0ABR0TPW0,Mandelate racemase/muconate lactonizing enzyme C-terminal domain-containing protein,QM012_006567,448
A0ABR0TQM7,Acireductone dioxygenase,ADI1,176
A0ABR0TR30,Mitochondrial inner membrane protein 1,QM012_006746,338
A0ABR0TRH5,PUA domain-containing protein,QM012_006051,469
A0ABR0TRI6,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_006960,497
A0ABR0TS96,Rhodopsin domain-containing protein,QM012_006329,413
A0ABR0TSJ4,Uncharacterized protein,QM012_006280,523
A0ABR0TSL8,Knr4/Smi1-like domain-containing protein,QM012_006232,1099
A0ABR0TSY7,Mitochondrial thiamine pyrophosphate carrier 1,QM012_004389,368
A0ABR0TSZ1,UNC-50 family protein,QM012_006352,282
A0ABR0TTJ4,Uncharacterized protein,QM012_004612,468
A0ABR0TTQ5,Uncharacterized protein,QM012_004644,325
A0ABR0TTS1,F-box domain-containing protein,QM012_004659,488
A0ABR0TTT3,Uncharacterized protein,QM012_004693,240
A0ABR0TTW3,NodB homology domain-containing protein,QM012_004704,304
A0ABR0TUR4,NodB homology domain-containing protein,QM012_000035,314
A0ABR0TVJ1,Uncharacterized protein,QM012_000409,441
A0ABR0TVK6,BZIP domain-containing protein,QM012_004694,272
A0ABR0TVL3,NAD(P)-binding protein,QM012_000356,253
A0ABR0TVQ4,HTH La-type RNA-binding domain-containing protein,QM012_004789,567
A0ABR0TW49,Nudix hydrolase domain-containing protein,QM012_000616,211
A0ABR0TWK5,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_000178,488
A0A4S9VC37,ATP-dependent RNA helicase eIF4A,QM012_008918,395
A0ABR0T4Q4,GLEYA adhesin domain-containing protein,QM012_005459,109
A0ABR0T5F2,U three protein 23,QM012_005236,319
A0ABR0T610,Uncharacterized protein,QM012_004972,501
A0ABR0T611,Glycosyltransferase 2-like domain-containing protein,QM012_005321,671
A0ABR0T6D6,Peptidase M3A/M3B catalytic domain-containing protein,QM012_005060,711
A0ABR0T7F9,Vacuolar protein sorting/targeting protein 10,QM012_004025,1501
A0ABR0T7I7,Extracellular membrane protein CFEM domain-containing protein,QM012_003651,205
A0ABR0T7U9,Acyl-CoA desaturase,QM012_003695,482
A0ABR0T980,Uncharacterized protein,QM012_003776,95
A0ABR0T9I5,NAD(P)-binding domain-containing protein,QM012_003410,326
A0ABR0T9K6,Uncharacterized protein,QM012_003191,773
A0ABR0T9L7,"ATP synthase subunit d, mitochondrial",QM012_003227,174
A0ABR0T9X1,DNA damage-binding protein 1,QM012_003005,1131
A0ABR0T9Y5,Uncharacterized protein,QM012_002580,280
A0ABR0TA50,Zn(2)-C6 fungal-type domain-containing protein,QM012_002629,390
A0ABR0TA64,SAGA-associated factor 11,QM012_003095,325
A0ABR0TA70,Uncharacterized protein,QM012_003571,382
A0ABR0TAZ8,Glycosyltransferase 2-like domain-containing protein,QM012_002905,890
A0ABR0TC26,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_002177,508
A0ABR0TC63,Kinase-like protein,QM012_002518,807
A0ABR0TCB7,ZIP zinc/iron transport family,QM012_002120,356
A0ABR0TCC4,Inositol oxygenase,QM012_002151,324
A0ABR0TCF8,Pescadillo homolog,NOP7,702
A0ABR0TCM9,Purine-cytosine permease,QM012_001828,523
A0ABR0TCN9,LIM-domain binding protein DD and LCCD domain-containing protein,QM012_001812,866
A0ABR0TCU6,UDENN domain-containing protein,QM012_001901,649
A0ABR0TCY5,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_002492,548
A0ABR0TDA2,RuvB-like helicase,QM012_002055,500
A0ABR0TDA8,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_002066,1054
A0ABR0TDC5,HNH nuclease domain-containing protein,QM012_002526,200
A0ABR0TDE9,Uncharacterized protein,QM012_002111,383
A0ABR0TDG1,Phosphatidate cytidylyltransferase,QM012_001719,465
A0ABR0TDP6,Exonuclease domain-containing protein,QM012_001304,728
A0ABR0TDZ9,Phosphatidylinositol 4-kinase,QM012_001789,748
A0ABR0TEU3,Transcription elongation factor 1 homolog,QM012_001250,135
A0ABR0TF89,VPS28-domain-containing protein,QM012_000933,376
A0ABR0TFB2,tRNA dimethylallyltransferase,QM012_001381,461
A0ABR0TFV0,Cobalamin-independent methionine synthase MetE C-terminal/archaeal domain-containing protein,QM012_001545,406
A0ABR0TFY0,Uncharacterized protein,QM012_001019,213
A0ABR0TGC3,Uncharacterized protein,QM012_009236,718
A0ABR0TGT5,Uncharacterized protein,QM012_009432,431
A0ABR0THX8,TPR-like protein,QM012_008893,945
A0ABR0TI23,AMP-dependent synthetase/ligase domain-containing protein,QM012_008759,704
A0ABR0TI62,P/Homo B domain-containing protein,QM012_008991,849
A0ABR0TIV6,Mitochondrial 2-oxodicarboxylate carrier protein,QM012_008240,301
A0ABR0TJ45,Auxiliary Activity family 9 catalytic domain-containing protein,QM012_008835,265
A0ABR0TJ74,Pre-mRNA-splicing factor CWC24,QM012_008986,323
A0ABR0TJC7,CDC20/Fizzy WD40 domain-containing protein,QM012_008910,629
A0ABR0TJE5,chitinase,QM012_008435,378
A0ABR0TJF8,Proteasome subunit alpha type,QM012_008891,269
A0ABR0TJK1,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_009091,466
A0ABR0TK00,2Fe-2S ferredoxin-type domain-containing protein,QM012_008604,189
A0ABR0TKL5,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_008327,503
A0ABR0TKX6,CID domain-containing protein,QM012_008398,454
A0ABR0TL25,Splicing factor YJU2,QM012_007928,236
A0ABR0TLX5,J domain-containing protein,QM012_007090,355
A0ABR0TLZ0,Dipeptidyl-peptidase V,QM012_007103,748
A0ABR0TMD4,B3/B4 tRNA-binding domain-containing protein,QM012_007839,242
A0ABR0TMK2,t-SNARE coiled-coil homology domain-containing protein,QM012_007313,430
A0ABR0TMK9,non-chaperonin molecular chaperone ATPase,QM012_007312,614
A0ABR0TMN1,Splicing factor U2AF subunit,QM012_007314,561
A0ABR0TMN4,TUG ubiquitin-like domain-containing protein,QM012_008145,389
A0ABR0TMY3,asparagine--tRNA ligase,QM012_007401,529
A0ABR0TN60,ATP-dependent RNA helicase,QM012_008125,565
A0ABR0TN79,HCP-like protein,QM012_007537,729
A0ABR0TNI4,Uncharacterized protein,QM012_006428,543
A0ABR0TNY8,WSC domain-containing protein,QM012_007499,305
A0ABR0TP09,Cullin N-terminal domain-containing protein,QM012_006573,246
A0ABR0TP86,S-adenosyl-L-methionine-dependent methyltransferase,QM012_006479,292
A0ABR0TPG6,Phosphatidate phosphatase APP1 catalytic domain-containing protein,QM012_007472,605
A0ABR0TPH5,Uncharacterized protein,QM012_006406,74
A0ABR0TPT6,Glutathione S-transferase,QM012_006689,247
A0ABR0TPV6,J domain-containing protein,QM012_006782,350
A0ABR0TPW3,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_006719,529
A0ABR0TQ61,Nop domain-containing protein,QM012_006997,602
A0ABR0TQE6,Fe2OG dioxygenase domain-containing protein,QM012_006505,242
A0ABR0TQH3,Trafficking protein particle complex subunit 11 domain-containing protein,QM012_005706,1242
A0ABR0TQK8,Fe2OG dioxygenase domain-containing protein,QM012_005743,440
A0ABR0TQW5,non-specific serine/threonine protein kinase,QM012_005847,902
A0ABR0TQW7,N-acetyltransferase domain-containing protein,QM012_005677,198
A0ABR0TRD1,Class II aldolase/adducin N-terminal domain-containing protein,QM012_005660,300
A0ABR0TRF8,HpcH/HpaI aldolase/citrate lyase domain-containing protein,QM012_006930,286
A0ABR0TS06,LisH domain-containing protein,QM012_006237,702
A0ABR0TTA5,Protein kinase domain-containing protein,QM012_006143,319
A0ABR0TTR0,Inositolphosphotransferase Aur1/Ipt1 domain-containing protein,QM012_004622,401
A0ABR0TTR3,DRBM domain-containing protein,QM012_004616,108
A0ABR0TTR7,NAD(P)-binding protein,QM012_004443,284
A0ABR0TTS2,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_004536,485
A0ABR0TTY5,ATP-dependent DNA helicase,QM012_004596,491
A0ABR0TUM6,Glycosyltransferase family 8 protein,QM012_000094,358
A0ABR0TUR7,SMP domain-containing protein,QM012_004425,80
A0ABR0TUT6,HORMA domain-containing protein,QM012_000122,228
A0ABR0TV05,Uncharacterized protein,QM012_000197,946
A0ABR0TV25,Uncharacterized protein,QM012_004549,224
A0ABR0TVJ5,Cytochrome c oxidase subunit,QM012_000381,131
A0ABR0TVK7,J domain-containing protein,QM012_000408,420
A0ABR0TWC2,HSF-type DNA-binding domain-containing protein,QM012_000510,770
A0ABR0TWK3,Phytoene desaturase,QM012_000464,612
A0ABR0TXE2,SAP domain-containing protein,QM012_000564,552
A0ABR0T4D7,F-box domain-containing protein,QM012_005556,391
A0ABR0T4G9,Apple domain-containing protein,QM012_005601,779
A0ABR0T4N3,Uncharacterized protein,QM012_005533,522
A0ABR0T546,Velvet domain-containing protein,QM012_005230,579
A0ABR0T6K4,Amino-acid transporter arg-13,QM012_004063,328
A0ABR0T6P1,Mitochondrial thiamine pyrophosphate carrier 1,QM012_004096,327
A0ABR0T6R2,Cytidine deaminase,QM012_004110,160
A0ABR0T6T0,Uncharacterized protein,QM012_004138,4331
A0ABR0T7U7,BZIP domain-containing protein,QM012_004160,230
A0ABR0T7Y9,Arabinanase/levansucrase/invertase,QM012_004039,341
A0ABR0T803,Thymocyte nuclear protein 1,QM012_003864,463
A0ABR0T806,MFS general substrate transporter,QM012_003293,261
A0ABR0T8D1,Acid protease,QM012_003419,601
A0ABR0T8F2,Deoxycytidylate deaminase,QM012_003445,343
A0ABR0T8H1,Reticulon-like protein,QM012_003460,476
A0ABR0T8X1,JmjC domain-containing protein,QM012_003549,189
A0ABR0T8Z5,Amino acid transporter,QM012_002987,519
A0ABR0T973,Postreplication repair E3 ubiquitin-protein ligase RAD18,QM012_003074,461
A0ABR0T9C7,Ribose 5-phosphate isomerase B,QM012_003777,172
A0ABR0T9Q8,pyridoxal 5'-phosphate synthase,QM012_003256,245
A0ABR0T9U0,Uncharacterized protein,QM012_003285,171
A0ABR0T9V1,REJ domain-containing protein,QM012_003516,464
A0ABR0TAL9,S-formylglutathione hydrolase,QM012_002817,288
A0ABR0TB60,HXXEE domain-containing protein,QM012_002168,214
A0ABR0TBR9,DUS-like FMN-binding domain-containing protein,QM012_002242,315
A0ABR0TBX6,Uncharacterized protein,QM012_002433,171
A0ABR0TCA3,RNA polymerase II degradation factor 1,QM012_002252,968
A0ABR0TCB4,Pyruvate decarboxylase,QM012_001724,596
A0ABR0TCJ9,Histidine kinase HHK15p,QM012_001801,1176
A0ABR0TCU5,REJ domain-containing protein,QM012_002235,285
A0ABR0TD47,AAA+ ATPase domain-containing protein,QM012_001700,391
A0ABR0TDR0,Uncharacterized protein,QM012_001318,930
A0ABR0TDT0,F1F0 ATP synthase assembly protein-like protein Atp11,QM012_001343,320
A0ABR0TE30,Mitochondrial division protein 1,QM012_001419,720
A0ABR0TEP7,ABC transporter domain-containing protein,QM012_001382,285
A0ABR0TEZ8,TauD/TfdA-like domain-containing protein,QM012_001672,401
A0ABR0TF50,Thiamine phosphate synthase/TenI domain-containing protein,QM012_001416,517
A0ABR0TFB6,MFS general substrate transporter,QM012_000794,1102
A0ABR0TFP3,Cyclin-dependent kinase 1,QM012_001099,327
A0ABR0TFY5,F-box domain-containing protein,QM012_001590,598
A0ABR0TG12,DRBM domain-containing protein,QM012_009162,275
A0ABR0TGS1,Mitochondrial chaperone BCS1,QM012_009400,489
A0ABR0TGU6,Acyl-CoA desaturase,QM012_009429,446
A0ABR0TGZ0,VOC domain-containing protein,QM012_001030,859
A0ABR0TH49,Uncharacterized protein,QM012_001090,114
A0ABR0TH56,AAA+ ATPase domain-containing protein,QM012_009443,778
A0ABR0THM5,Uncharacterized protein,QM012_009196,342
A0ABR0THR3,WW domain-containing protein,QM012_008809,303
A0ABR0THV1,Uncharacterized protein,QM012_009257,253
A0ABR0THX0,beta-glucosidase,QM012_009427,710
A0ABR0THX2,AAR2-domain-containing protein,QM012_009498,463
A0ABR0TI67,Gcp-like domain-containing protein,QM012_008978,329
A0ABR0TJK5,5'-3' exoribonuclease 1,QM012_008495,1390
A0ABR0TK22,PhoD-like phosphatase metallophosphatase domain-containing protein,QM012_008665,532
A0ABR0TKF7,NTF2 domain-containing protein,QM012_007714,172
A0ABR0TKI5,Glycine cleavage system H protein,QM012_007742,167
A0ABR0TKJ5,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_008534,587
A0ABR0TL36,N-acetyltransferase domain-containing protein,QM012_007940,93
A0ABR0TLI1,Fimbrin,QM012_008642,659
A0ABR0TLI6,Squalene/phytoene synthase,QM012_007888,317
A0ABR0TLN2,Alternative oxidase,QM012_008127,345
A0ABR0TLU3,RNB domain-containing protein,QM012_007993,1348
A0ABR0TM78,Extracellular membrane protein CFEM domain-containing protein,QM012_007780,249
A0ABR0TMA8,TOG domain-containing protein,QM012_007810,934
A0ABR0TN49,N-acetyltransferase domain-containing protein,QM012_007507,487
A0ABR0TN87,PLP-dependent transferase,QM012_007555,523
A0ABR0TNX7,2-methylcitrate dehydratase,QM012_006545,550
A0ABR0TP08,F-box domain-containing protein,QM012_006592,358
A0ABR0TP36,Uncharacterized protein,QM012_006598,955
A0ABR0TP95,RNase III domain-containing protein,QM012_006665,151
A0ABR0TPK1,vWA found in TerF C terminus domain-containing protein,QM012_006770,601
A0ABR0TPZ0,Uncharacterized protein,QM012_006749,131
A0ABR0TQH5,Prefoldin,QM012_006535,120
A0ABR0TQI8,General stress protein FMN-binding split barrel domain-containing protein,QM012_005721,250
A0ABR0TQW3,Apple domain-containing protein,QM012_005835,757
A0ABR0TQX3,Defect at low temperature protein 1,DLT1,445
A0ABR0TQZ5,Mitogen-activated protein kinase,QM012_005877,482
A0ABR0TQZ8,Mitochondrial carrier,QM012_006716,333
A0ABR0TSE0,Uncharacterized protein,QM012_006330,101
A0ABR0TSX8,Uncharacterized protein,QM012_004387,148
A0ABR0TSY8,Mitochondrial fission process protein 1,QM012_004373,334
A0ABR0TTF1,C2H2-type domain-containing protein,QM012_004542,373
A0ABR0TTI9,Endoplasmic reticulum-Golgi intermediate compartment protein,QM012_004216,397
A0ABR0TTT4,MICOS complex subunit MIC12,QM012_004717,174
A0ABR0TTX0,25S rRNA (Uridine(2843)-N(3))-methyltransferase,QM012_004581,401
A0ABR0TUC7,"Mannan endo-1,6-alpha-mannosidase",QM012_004275,497
A0ABR0TUF1,DUF2415 domain-containing protein,QM012_004610,760
