UniProt_accession,AlphaFold_model,pLDDT
Q8NKF4,True,96.25
B5FVG3,True,74.19
O13489,True,94.06
Q09176,True,90.81
Q6FXJ5,True,58.28
Q9C0Z7,True,94.25
P94681,True,96.94
N4WR35,True,96.38
J9VM54,True,69.31
Q9H841,True,79.31
Q6C097,True,91.5
L7WRZ7,True,94.06
P54202,True,96.5
O32210,True,97.88
G1X9H9,True,79.06
Q9UTM5,True,52.09
A0A0M4KRN2,True,91.94
Q02804,True,91.31
A0A0B6VQ48,True,95.31
Q7SEK9,True,92.44
Q07904,True,79.5
Q9URM2,True,97.62
Q6CFQ0,True,81.19
O13830,True,78.06
J9VI03,True,73.75
O74534,True,84.25
P43069,True,66.56
A0A1D8PMR6,True,77.75
Q00746,True,86.81
Q7RYI3,True,67.75
Q9TXJ8,True,83.94
Q76PD2,True,62.78
Q9M0A6,True,95.88
O14369,True,64.19
D4AMT2,True,86.12
Q0CRQ3,True,90.56
Q8X0X0,True,88.31
O74335,True,71.62
O94564,True,96.44
Q5AUW6,True,97.62
O94514,True,81.19
J9VSG5,True,78.56
Q6MW51,True,92.06
Q9ZR41,True,95.31
K0E4E1,True,93.0
Q06593,True,84.38
Q7XA48,True,95.81
Q87GU5,True,80.5
P25526,True,98.44
Q6ERS4,True,75.25
P39888,True,90.81
Q8IQ13,True,79.81
Q10367,True,66.56
U6A629,True,93.31
Q9US55,True,94.38
A1CPX0,True,87.31
W6QKQ9,True,95.69
A0A5K6CNB8,True,86.88
Q9US06,True,73.88
P11075,True,70.88
Q6C6S3,True,77.0
Q9P720,True,94.56
A0A3G1DJF1,True,82.12
P37211,True,89.62
Q25BW4,True,90.12
P10696,True,92.94
Q09896,True,92.38
Q9UTL9,True,74.81
Q0CMY6,True,96.75
Q09689,True,75.38
A0A1D8PP14,True,96.31
O60171,True,69.44
Q9UUI4,True,77.38
Q09898,True,72.81
Q9VR50,True,80.06
Q5BBL3,True,61.41
Q2HCW8,True,87.81
A0A0F7GG06,True,86.81
Q09690,True,56.94
Q7SBJ8,True,91.5
Q9HGL1,True,89.19
Q12303,True,79.81
Q05533,True,94.44
P78790,True,91.0
Q4WLI9,True,79.19
P00692,True,94.94
P0ACA5,True,94.88
O13818,True,75.5
O74476,True,92.0
P32347,True,96.75
P49373,True,84.25
A0A481WQK1,True,82.44
O09173,True,96.69
C8VTR5,True,74.19
P78774,True,89.56
Q0UUN6,True,95.06
P53152,True,95.88
Q03667,True,61.03
Q9USU9,True,60.03
Q4WVF4,True,78.44
O60076,True,90.44
Q4WM32,True,72.69
P35848,True,87.81
A0A1D8PSK2,True,88.06
P38230,True,97.25
Q7XTS4,True,80.12
P87132,True,56.62
G2XIN6,True,86.62
Q9USP9,True,65.81
O60071,True,77.06
O94524,True,96.19
A0A161CKG1,True,93.31
P56859,True,85.75
G0RYE9,True,75.56
P42769,True,94.06
A0A411PQN6,True,96.19
A0A411PQN7,True,92.75
A0A7U2QXY7,True,86.12
Q4PEQ5,True,71.19
F4IBB2,True,79.81
Q4IPB3,True,67.56
M2YJK1,True,93.56
A0A0F4YI33,True,89.0
Q8J0G0,True,95.75
Q4WCX7,True,90.75
Q1K7A4,True,90.44
Q9P6J5,True,85.56
F2Q5G0,True,78.94
Q6PE25,True,85.5
O43003,True,88.69
O75012,True,82.06
G0SAN7,True,70.56
O18017,True,73.25
Q05521,True,91.31
G4N2B2,True,60.5
P48027,True,81.19
Q4WTC0,True,78.31
Q45604,True,96.31
Q5AV06,True,87.31
Q4WE58,True,82.12
P24021,True,94.38
Q8XZ91,True,96.0
O00058,True,97.06
P39714,True,96.38
P38891,True,93.25
P53204,True,78.44
D4ARL8,True,88.12
O94561,True,87.44
O94611,True,81.75
P20485,True,75.69
Q06010,True,91.0
B0ZT44,True,96.88
A1KXP4,True,90.88
A0A1D8PLA4,True,66.56
F0KFI5,True,96.5
Q5AWD4,True,94.5
P11593,True,85.56
O60135,True,91.19
Q1K699,True,82.69
P40724,True,87.75
Q96V64,True,94.0
Q00922,True,97.31
Q54E41,True,91.0
Q1MTM9,True,59.75
Q54R14,True,83.56
K0E2F6,True,79.19
P0CO40,True,72.88
Q07589,True,96.62
Q7S7Z6,True,84.0
Q09127,True,94.75
Q92406,True,91.31
Q8X0H8,True,88.19
Q7SEY9,True,67.94
Q6YZW2,True,70.19
Q9HFW3,True,68.88
Q869Q0,True,74.44
Q12063,True,79.56
A0A5B9GBF0,True,88.25
A0A2U8U2L0,True,89.56
Q28120,True,91.5
P20593,True,89.31
B0R0B1,True,80.0
A0A2N6JFX7,True,96.69
Q9UUB8,True,80.94
K0DZ95,True,71.62
Q6CBP4,True,95.31
P16965,True,72.69
Q92356,True,82.0
O07085,True,96.81
O14302,True,69.38
Q69UP6,True,79.19
Q7S8A6,True,90.25
P25346,True,81.0
O52866,True,96.94
O94083,True,87.0
Q7S1P9,True,68.5
Q711M0,True,88.94
A0A023PZI9,True,50.22
Q9HGM9,True,86.38
Q9P6I2,True,96.69
G3XMC6,True,97.19
A5V5P9,True,89.69
Q9SKC4,True,84.25
Q08777,True,80.38
Q9HYV6,True,94.44
F4I2J8,True,69.88
A0A1P8VF85,True,96.0
O14265,True,90.62
Q56878,True,94.81
P28350,True,86.94
P53980,True,87.31
O74544,True,78.44
Q10094,True,89.19
Q08280,True,83.5
Q9USX9,True,90.81
A0A0F7GG11,True,96.31
Q9X1C1,True,96.88
Q9P4P9,True,91.75
D7PI20,True,94.06
P49777,True,82.56
O94673,True,84.56
O59753,True,80.56
A5IKD4,True,96.0
Q9P7V5,True,72.88
Q8R1G1,True,87.06
Q11119,True,82.31
Q10138,True,82.31
Q0CMM0,True,91.81
Q86TN4,True,85.69
A0A3R0A696,True,87.62
H6CA42,True,72.25
Q7S565,True,78.69
A0A482NAL3,True,90.25
P14065,True,97.0
Q4WX89,True,79.75
Q03134,True,98.0
A7UXE4,True,89.94
P38880,True,75.75
P24665,True,85.31
Q0WVW7,True,74.38
A0A5B8YVD8,True,91.5
O60176,True,68.75
Q8J1L3,True,88.38
Q0CG59,True,81.81
Q9UST8,True,78.94
G5EDF0,True,68.56
Q9HEV5,True,66.62
Q4X136,True,85.0
D4B1N9,True,92.5
P0DOV8,True,94.69
Q9H490,True,92.69
A0A2H3CZX2,True,93.19
O13912,True,81.94
O22042,True,61.12
Q6SIF1,True,72.38
O94416,True,64.75
P25040,True,76.19
Q2U6P7,True,85.81
B0Y8H9,True,89.06
Q07824,True,78.81
Q8X0G8,True,67.75
Q9UTD3,True,82.5
O14165,True,92.56
O74508,True,71.81
Q5AEN2,True,94.94
P39538,True,73.62
Q0CJ62,True,92.44
Q9Y7U7,True,88.62
A0A455M2Z1,True,63.59
O43037,True,93.25
Q92407,True,93.12
Q7RZV2,True,93.5
Q9HEQ9,True,71.25
Q9H7B4,True,97.31
O74192,True,93.69
P23955,True,83.5
Q06287,True,90.0
P0CT24,True,80.12
P40513,True,82.5
P0AAJ0,True,97.5
Q5RLY7,True,91.19
Q9P7W2,True,92.06
P74312,True,96.25
P36032,True,84.31
Q9P601,True,86.75
Q9USS7,True,84.94
B2AE04,True,93.0
O76924,True,84.25
A0A0A2KPB9,True,82.5
O58489,True,96.12
Q4WF53,True,79.19
B8MKY6,True,82.62
Q10242,True,90.75
P36626,True,56.38
Q520U5,True,87.44
B5BP45,True,82.88
M2YJQ2,True,91.81
P36914,True,94.12
P53929,True,94.38
Q9UTF8,True,74.88
Q4WD46,True,82.31
Q4WD43,True,89.19
Q0C7H7,True,94.94
P55250,True,93.25
A2QQV6,True,87.19
Q5B4R9,True,57.66
B8NT06,True,76.25
P25284,True,87.62
P87058,True,77.19
Q4WW43,True,91.62
Q06640,True,77.5
O43028,True,94.19
Q10295,True,90.19
Q3ZCI8,True,66.25
P04802,True,92.56
S3D778,True,79.81
Q09674,True,86.0
P71847,True,91.19
P42328,True,96.81
Q81EJ6,True,90.56
A0A2Z4HQ03,True,91.5
A1D2R3,True,87.5
I1RCD3,True,78.06
G0S235,True,80.25
Q6NUQ1,True,85.12
Q5RKZ7,True,79.94
Q9VHI4,True,92.69
O43001,True,79.0
G0SB20,True,93.12
A2QHV0,True,66.0
A5DK49,True,88.88
P55306,True,95.0
P51687,True,84.69
Q4U3U6,True,87.31
Q4X024,True,81.25
Q9H3K2,True,77.62
C0HK62,True,79.88
Q07622,True,69.88
Q9SZU7,True,96.94
O74746,True,92.5
A4W1K6,True,94.44
Q4WG16,True,77.62
O60113,True,83.81
O74748,True,83.12
Q09353,True,58.28
Q9UZA3,True,97.25
P87018,True,84.69
Q01302,True,55.22
O13881,True,75.19
A0A1D8PN88,True,82.69
Q4WPF7,True,73.56
E7F1U2,True,62.28
Q10166,True,88.75
D4AV38,True,89.38
A0A559KX76,True,92.81
A0A6G9KIF9,True,91.31
P41818,True,67.94
A0A4P8GEE8,True,93.81
Q9USR0,True,86.5
A0A6F8RQ72,True,96.19
Q6CIB4,True,90.56
Q10318,True,92.38
Q555N6,True,90.75
Q4WPW2,True,77.5
A1CIA7,True,90.62
D4ANW6,True,92.94
B6H2E9,True,92.81
O94266,True,90.88
A2RA31,True,94.38
A0A0M9VUJ4,True,90.25
Q14206,True,79.25
Q5BB41,True,90.25
O59905,True,88.06
Q1E1R7,True,80.81
Q09711,True,84.75
P32802,True,85.88
A7KAN7,True,56.31
Q0U154,True,81.38
A0A2Z4HPZ7,True,92.62
P09322,True,88.69
Q9HFJ5,True,93.75
Q29550,True,92.62
Q2HBN5,True,95.81
Q5BGP0,True,92.19
B0DPL3,True,91.5
P33313,True,91.75
Q9Y2Y1,True,84.88
Q00416,True,70.19
A0A5J6BJT3,True,83.19
P40340,True,61.44
O43022,True,76.94
O59801,True,79.31
Q10199,True,68.81
Q28ER3,True,90.81
P27515,True,85.19
P0C8K8,True,79.56
P71359,True,86.75
Q9M205,True,80.75
Q5AK66,True,67.44
G2X954,True,89.19
Q058N0,True,59.59
O43125,True,61.75
O42858,True,88.19
Q9URW7,True,73.88
Q89AV3,True,91.06
P87111,True,88.88
Q5BDL9,True,91.56
S0DQN6,True,90.0
O14110,True,94.75
A0A6S6AA17,True,87.31
A2R091,True,78.56
O74919,True,70.5
B6HTR9,True,76.0
P18898,True,93.56
Q7SB51,True,75.19
A0A2Z6FZX4,True,93.06
O74800,True,89.44
G2XE04,True,71.19
Q4WE63,True,49.41
Q01976,True,90.69
Q4QZZ9,True,95.0
O94661,True,86.12
A0A455ZMR3,True,84.25
O13995,True,89.25
O14205,True,85.88
Q6NYX8,True,84.19
P07144,True,95.5
A0JNC2,True,48.69
I1R9A9,True,89.81
P15710,True,82.5
Q0V3Y9,True,93.44
O74862,True,78.25
O74742,True,88.25
Q10140,True,60.19
A7RK30,True,90.62
P15802,True,97.69
Q9FLX9,True,94.56
I1RF50,True,83.12
P40433,True,67.0
Q10EL1,True,55.47
D4AU29,True,89.94
Q0P5E4,True,85.31
Q9CKJ2,True,91.12
O60145,True,83.88
P79153,True,89.44
O31530,True,95.19
Q8N3Z3,True,84.94
P49026,True,92.12
Q8VCC1,True,96.25
Q0UU86,True,87.94
O74995,True,82.81
O13776,True,71.12
Q2UK72,True,70.0
Q9FZE0,True,94.0
Q4HVS2,True,76.31
Q2HG02,True,84.06
Q7S1X0,True,93.56
O13822,True,92.12
Q148J6,True,94.25
Q9Y8G8,True,73.19
Q09759,True,69.75
B5VF36,True,79.12
Q96I13,True,78.0
O60182,True,68.19
Q54QI4,True,96.19
P38364,True,90.62
A0A1U9YHZ8,True,89.94
Q54CX6,True,93.06
W7MSI4,True,95.0
E9F688,True,96.44
P70684,True,96.25
I1RDA9,True,91.62
B8N2C8,True,92.75
A2RBA1,True,76.38
P78581,True,91.94
P09437,True,82.81
Q4WDK5,True,92.81
Q9UT44,True,94.31
Q9NP80,True,66.88
G3YC86,True,72.75
Q8IRI6,True,65.94
W6Q9S9,True,97.44
Q1E7G6,True,68.69
Q5E9H2,True,86.19
P34755,True,92.62
P70792,True,96.88
Q0CCY0,True,95.62
Q9UT95,True,86.12
Q54PI4,True,65.0
A0A1D8PK43,True,96.0
A0AAD6NIB7,True,57.31
C8VTR6,True,90.81
A8ARD9,True,97.44
Q10258,True,87.31
Q1K528,True,79.81
Q7TQI3,True,91.81
B2CML6,True,94.75
P9WEZ6,True,89.5
A3LZU7,True,95.88
C7YRT4,True,61.94
G3Y1Q5,True,81.44
A9BBN4,True,93.88
V5IP95,True,85.19
P14187,True,75.12
A2QTU5,True,91.88
B2KWI4,True,76.06
Q7A3C4,True,96.81
O59948,True,83.12
O13926,True,90.56
P09368,True,84.19
O13889,True,59.0
O74345,True,56.53
P21772,True,86.12
P26686,True,60.16
Q6LA56,True,85.5
O13829,True,81.56
Q9URV1,True,87.81
P38829,True,76.31
O14223,True,87.62
A0A2I2F2Q7,True,90.12
P53633,True,84.0
W7NDP3,True,88.25
O59722,True,61.59
Q8K1N1,True,65.94
P11943,True,78.25
Q1K5R0,True,90.12
Q3ZBT5,True,78.5
Q4I963,True,92.31
P32529,True,83.75
Q10224,True,94.56
Q54Y08,True,66.0
G0RYE0,True,90.81
P40310,True,75.25
Q4WHG1,True,74.88
P53099,True,82.56
O14094,True,94.25
A0A067XMP2,True,92.0
Q9P2Y5,True,67.62
Q4WGE2,True,86.69
Q9C6K9,True,78.31
O13817,True,57.06
O60067,True,70.81
P13709,True,45.84
G4NCT7,True,67.75
P40977,True,73.56
Q00179,True,76.25
P55809,True,91.94
A0A0C1E1D0,True,87.25
Q59XX2,True,79.31
O74923,True,82.81
Q4WZF1,True,74.06
O28578,True,97.44
P25345,True,90.19
C8V3N0,True,76.62
O59804,True,88.31
P32584,True,92.31
P53693,True,86.88
Q27746,True,75.12
Q9I923,True,97.5
Q6BJ87,True,81.06
O14141,True,91.62
Q921Y4,True,88.25
Q9PFB2,True,91.62
G0S3B8,False,
P36421,True,87.81
A0A0F9XIF1,True,92.62
A1CIK0,True,60.69
B9W4V6,True,93.25
Q2GJB4,True,95.56
Q5B5L5,True,87.88
Q1K5Z0,True,78.81
Q8VDB2,True,92.94
O28797,True,95.69
Q7WHW5,True,92.25
F2T0J9,True,83.12
P87049,True,59.94
Q92609,True,64.62
Q06624,True,92.69
B9JLT8,True,94.81
Q7SGS1,True,66.44
A5ABG0,False,
P35200,True,88.44
P79082,True,77.56
Q4WTW3,True,87.94
Q9C5U3,True,81.0
P06738,True,94.12
Q13618,True,90.19
P32794,True,76.19
A0A223HDI2,True,96.44
P47082,True,73.31
B2VZQ8,True,94.56
P38041,True,56.66
P83876,True,88.56
A0A011QK89,True,93.69
E9F8M2,True,96.19
Q5RGL7,True,96.19
Q8GGD4,True,96.88
P22987,True,60.59
E9ENZ6,True,66.94
P38340,True,97.44
E4ZHQ5,True,91.19
P38716,True,96.81
Q10438,True,86.56
P51599,True,77.69
O36015,True,89.25
Q01359,True,85.25
A0A7T8F1N2,True,95.25
Q9P3B2,True,73.19
P75791,True,95.88
Q9CRB3,True,94.81
G3Y4N5,True,87.19
B7KVW2,True,96.69
P87137,True,64.5
P35788,True,92.25
P36085,True,70.38
Q09704,True,81.06
A1CP80,True,86.25
P12337,True,93.69
P21243,True,94.31
A6XIG7,True,94.88
Q12535,True,95.12
Q6L4V0,True,81.75
Q2UG94,True,82.25
Q8NHP1,True,95.94
A0A384JJA8,True,73.69
O74397,True,92.5
A0A0J9WG94,True,60.69
Q4WJX7,True,78.31
P30284,True,71.5
O34736,True,97.0
B4YQU1,True,87.06
Q08746,True,86.0
B2VS19,True,62.56
O94580,True,79.25
Q8VY81,True,82.62
Q9UT73,True,78.88
Q12251,True,83.44
P38287,True,83.31
A0A1D8PS71,True,95.81
P32916,True,76.25
P06811,True,90.62
Q9FNI6,True,70.44
Q0CJC5,True,94.19
Q60969,True,87.31
O74825,True,92.31
Q09697,True,77.75
P9WES7,True,71.5
Q0UI93,True,80.19
Q9H790,True,80.0
P48057,True,88.0
C4R4G9,True,96.31
P38886,True,77.06
Q96UL8,True,89.75
P40995,True,68.19
P24867,True,74.31
Q8T3C8,True,88.31
Q9WYK0,True,95.25
P36062,True,70.44
A7EV21,True,78.38
O59810,True,71.0
P41177,True,96.75
P15398,True,81.25
Q1LZ83,True,96.56
Q12010,True,80.44
G4N5Q2,True,52.56
Q9VMW8,True,87.5
O34703,True,86.19
O59730,True,94.88
Q9USG9,True,86.56
Q4JHP5,True,94.19
T0JRM4,True,93.12
O60175,True,80.44
M1BYJ7,True,89.19
Q9Y8B8,True,97.31
A0A411PQP8,True,96.44
O93831,True,79.62
Q54CX4,True,52.53
Q0USG2,True,87.06
P36136,True,92.75
P41893,True,95.62
Q12109,True,92.38
P40900,True,84.44
O74731,True,89.25
D1ZG64,True,89.62
Q0UFP3,True,96.06
Q70M86,True,64.81
P50108,True,78.19
B2WSN1,True,97.06
G0S381,True,64.69
E9DXX9,True,48.75
Q0U1X7,True,63.41
Q9C168,True,95.0
Q60490,True,95.5
Q12233,True,90.75
P32495,True,79.12
Q92R45,True,95.06
P13181,True,83.56
P53123,True,77.94
Q9C136,True,98.0
P10282,True,89.56
Q10142,True,81.31
P80402,True,98.0
P41889,True,80.81
Q9Z0Z4,True,89.56
Q9P896,True,80.06
Q5A1L6,True,88.06
A0A2I1D2N1,True,91.62
B0ZT47,True,87.69
Q10264,True,76.38
Q92462,True,76.88
Q7RXV8,True,81.19
A0A1D8PPT5,True,95.0
Q9FJD2,True,86.81
Q08647,True,84.62
Q0CJ00,True,85.5
O13864,True,93.06
Q4WWH6,True,80.88
O13597,True,85.38
Q8N3L3,True,67.06
B0BNE5,True,98.12
Q42598,True,94.88
Q4WMH0,True,57.47
A7LXS9,True,92.94
Q0K843,True,92.81
O14255,True,90.19
O47950,True,82.12
K3VH30,True,89.31
Q04739,True,63.28
G5EB37,True,94.06
Q0UMR2,True,87.44
O93934,True,96.62
Q9VCY8,True,77.31
O74690,True,97.44
Q6FL81,True,95.0
Q3S4B7,True,95.56
P05328,True,89.5
G2WYX6,True,93.44
P35208,True,63.97
P15245,True,96.0
G2TRT6,True,79.0
Q871U9,True,82.25
A0A0U5CNP2,True,92.25
Q641C8,True,88.75
Q96S52,True,85.5
D4DD24,True,90.5
Q9P602,True,76.12
O14031,True,81.38
Q5XHA2,True,92.5
Q01650,True,85.88
Q06K61,True,94.12
P46678,True,63.0
Q55GS2,True,73.0
Q9FCD7,True,91.56
Q4WHZ9,True,91.25
Q12618,True,88.94
Q9P786,True,93.12
Q9UUB6,True,91.44
P13221,True,96.5
F4JTS8,False,
A0A7T8F1L1,True,95.5
P54672,True,89.0
A0A060S684,True,87.81
Q3E834,True,78.75
P00332,True,96.31
Q12556,True,95.94
P33297,True,81.38
Q7S8R8,True,70.06
P30656,True,87.88
Q9Y875,True,84.62
Q8QFP8,True,74.19
P9WES8,True,73.81
Q1E065,True,84.0
D5VGV1,True,95.56
O59827,True,97.25
Q2UFN8,True,71.31
I1RVD6,True,86.62
Q9P0S9,True,62.62
O14192,True,95.44
O31680,True,97.12
B8A5W4,True,91.38
Q09706,True,70.0
Q7RVY5,True,85.0
Q8X0S4,True,96.62
O94397,True,66.5
A0A437A6S9,True,83.69
P75863,True,94.75
O04482,True,91.12
Q6C6Q7,True,94.19
G0SER9,True,84.94
O05218,True,96.06
O53732,True,89.44
Q1K605,True,58.75
Q0UG91,True,96.19
Q6CSR7,True,70.81
I1RZ92,True,92.38
Q2UHA7,True,92.5
Q9USK3,True,83.56
S0DRI2,True,93.62
Q7SC06,True,78.94
Q60963,True,86.19
Q10169,True,69.81
O94726,True,76.5
D7UPN2,True,96.81
A0A223GB52,True,92.88
Q4INZ9,True,61.44
F1QMV3,True,90.12
Q0CF72,True,95.12
B0Y3M6,True,96.44
Q58CV6,True,93.88
Q4WIN1,True,63.81
Q5FWN8,True,64.81
P32839,True,79.88
P0CT29,True,91.0
O15457,True,74.25
Q5ACX1,False,
Q0UL22,True,81.88
Q9HFE4,True,97.25
Q9LSV0,True,97.44
P47159,True,85.31
P33181,True,85.94
Q7Z9I0,True,81.75
P49380,True,77.88
Q9Y303,True,94.5
O13750,True,91.69
Q8R151,True,74.69
G2XBK3,True,89.44
A1CQG2,True,75.19
P27999,True,83.75
Q10292,True,83.12
Q5BD77,True,97.31
P06704,True,91.81
O14357,True,80.31
P38817,True,73.88
I1RLA6,True,78.44
Q09911,True,64.56
K3UII4,True,85.94
A0A1D8PLH4,True,69.56
M2T7Z1,True,91.5
Q70GH4,True,87.75
Q9LJD7,True,88.62
B9W4V8,False,
Q876K6,True,79.81
G9N4A2,True,96.75
P16081,True,84.12
O74499,True,87.19
O74832,True,85.19
Q4W9B8,True,91.06
O13982,True,88.75
Q9UUD2,True,84.94
Q12457,True,61.25
Q4WJS4,True,79.88
C8V8H5,True,62.44
Q0CXD0,True,87.62
O74197,True,93.06
Q9DGB6,True,88.19
W7N463,True,95.12
P22108,True,92.12
Q9P3U4,True,85.25
Q9DAZ9,True,75.69
D4AU30,True,95.38
O94609,True,93.56
J9VDQ4,True,73.31
P0DXV7,True,82.94
O60119,True,64.81
O74908,True,76.0
B8N0E7,True,86.25
P42525,True,81.0
Q9P6U7,True,95.75
Q6C8F0,True,76.19
F4IV16,True,92.88
Q0V389,True,76.69
Q05518,True,55.34
A1DJQ7,True,91.12
O74966,True,89.75
Q6G7C8,True,98.12
B8N195,True,96.81
P40525,True,93.69
O14189,True,84.69
O04379,True,81.0
B3LHB3,True,88.31
O74543,True,84.44
P36017,True,86.81
Q27032,True,87.0
A0A481WNM8,True,79.25
O42887,True,89.69
Q9USM7,True,74.69
P0CT19,True,73.69
Q2EQQ2,True,93.5
C4QYL7,True,89.06
P40527,True,78.69
O94340,True,91.69
A0A437AGY2,True,63.47
Q0C8J3,True,94.81
Q6MYX6,True,87.5
O14295,True,95.38
Q0UHL8,True,93.38
Q2TXQ8,True,83.88
P0CU76,True,89.44
A9ZND1,True,96.31
G2WQ55,True,86.38
I1RHF8,True,93.19
S0DZN4,True,86.44
S0E2X6,True,91.5
F2SL82,True,91.81
A0A2Z4HPZ6,True,85.5
Q4WZV3,True,88.75
A0A097ZPD4,True,92.0
Q45223,True,96.88
Q9P6I9,True,77.81
B2KWH4,True,79.75
L7I518,True,94.31
Q0C8V9,True,94.69
P25502,True,67.44
Q0UNW1,True,75.88
Q4WX30,True,91.69
E3RR70,True,92.06
Q8L7W8,True,92.06
J9VLA6,True,83.75
P87121,True,84.56
Q54RP6,True,53.5
Q5UQ40,False,
Q08268,True,82.38
Q8SSK6,True,95.12
Q4WD47,True,71.38
O14002,True,69.5
B8N0F1,True,87.44
A2R2S6,True,94.75
O94522,True,76.81
M7U9B9,True,86.0
Q8CI04,True,78.31
Q6UIM1,False,
Q0UQJ8,True,68.88
B6H062,True,93.12
O13629,True,89.94
D4ATC3,True,88.31
Q49117,True,97.25
O13737,True,77.12
A0A455LLW9,True,92.31
Q07540,True,77.19
A0A411KZZ4,True,92.69
Q9UUJ6,True,64.81
K0E4D9,True,79.12
Q09184,True,92.94
M4IQQ5,True,90.06
Q3S4A7,True,66.56
D4B0N9,True,90.81
P53390,True,87.31
A0A194VZB5,True,86.56
Q8RXT4,True,65.88
Q12523,True,72.94
G0S488,True,83.44
Q5AUI1,True,81.31
Q7S931,True,68.75
Q2K414,True,97.5
Q9WXE8,False,
P56508,True,74.12
Q0UI56,True,87.88
Q07527,True,84.06
Q99SJ1,True,94.19
Q6C0I0,True,96.06
O59802,True,85.31
Q7RYV0,True,68.0
Q9HDT3,True,97.31
Q8VZ80,True,81.06
G2X0L1,True,82.75
A7RVK7,True,84.38
O14069,True,90.75
O13965,True,65.0
P52917,True,85.19
P40464,True,87.0
P23060,True,92.31
A0A2I6PJ00,True,89.25
P55853,True,79.44
Q8NB90,True,72.94
C8VP36,True,95.75
Q8TG13,True,96.38
Q8L805,True,91.94
A6S8E7,True,90.69
Q9USS6,True,87.81
O13845,True,63.12
A1D5T7,True,95.69
P15365,True,81.5
P11634,True,92.75
P40897,True,86.5
A0A140JWT7,True,93.5
P53076,True,59.16
A0A2G5ICC7,True,89.38
B8MKR3,True,89.94
Q9Y7T2,True,94.56
I1RHJ1,True,87.31
A2QU15,True,76.25
Q02799,True,58.72
Q4WBI0,True,72.75
Q10498,True,94.19
Q4WP32,True,93.94
A1CTK4,True,96.12
A2QAP8,True,94.44
Q9URZ3,True,87.0
Q4I613,True,93.56
B2ADG1,True,78.44
P78713,True,89.88
B8NCG2,True,96.69
Q6GQ37,True,86.44
Q9M7K4,True,77.06
P32481,True,81.56
W1QAK2,True,69.88
Q9USK8,True,75.12
Q2UJS7,True,87.12
D4AZD1,True,85.62
Q09146,True,60.47
A0A384JC04,True,92.38
A6WYS5,True,97.0
O13863,True,68.38
Q99MY8,False,
Q4WM67,True,92.56
P49249,True,84.88
Q2UJJ4,True,63.5
P29251,True,84.69
A6SSM3,True,81.19
Q4WR75,True,84.38
P15043,True,88.31
Q9US38,True,96.25
Q12564,True,75.44
P9WK86,True,95.75
Q0UHZ9,True,89.62
P38758,True,82.69
F1MLX0,True,91.94
P0DYC2,False,
P94428,True,97.75
N1PZ58,True,63.25
A1D1E6,True,92.56
B6H6L7,True,98.38
P78704,True,73.44
O42866,True,94.38
P24919,True,77.88
O59706,True,82.94
Q04894,True,96.19
P32459,True,95.69
Q64392,True,86.12
Q9P999,True,95.06
P87055,True,90.81
P81908,True,94.25
Q9NY57,True,85.38
P04963,True,88.0
Q9UT24,True,80.38
Q12640,True,89.0
P42124,True,72.81
B8NM62,True,93.12
B2WMQ2,True,96.44
O13917,True,88.38
O60045,True,90.44
Q8H191,True,90.31
P40581,True,96.38
P53379,True,71.19
A4UHS8,True,90.44
Q0V254,True,86.06
O14019,True,65.62
P53326,True,91.69
Q1E9T9,True,74.38
A6SG85,True,71.44
Q5B3U7,True,79.62
F1DBB3,True,95.69
Q6DTN4,True,96.56
Q9Y7B3,True,76.19
Q5BA81,True,90.75
P37297,True,80.5
O74627,True,78.06
A6RJA2,True,74.75
O59715,True,88.56
P33333,True,91.31
O13726,True,76.19
Q5XHZ9,True,87.0
S0EG57,True,86.31
Q5BHE2,False,
P21133,True,95.69
O36025,True,49.91
P35210,True,56.34
Q4WYQ4,True,54.03
P51794,True,85.44
P85978,True,98.38
P36621,True,76.31
O43033,True,91.31
O43896,True,67.75
E9ENC6,True,93.25
Q0CGA6,True,87.44
Q00737,True,80.81
P36526,True,92.69
Q7SAM0,True,77.38
Q12608,True,83.5
O74869,True,79.88
C1H563,True,90.81
D4AUF1,True,89.0
Q7SIC2,True,95.19
O26715,True,86.56
P49018,True,80.06
O94553,True,79.12
Q12546,True,90.44
A1A699,True,77.31
A0A7M6W5F9,True,88.19
O74767,True,91.56
Q7TXL6,True,86.44
P17872,True,95.44
Q7S7R6,True,85.06
A0A2Z4HPY0,True,91.44
A0A1B4XBH0,True,94.19
O74886,True,96.12
Q12094,True,75.81
Q9UTK0,True,75.44
Q9HE25,True,92.81
A6RC50,True,78.44
Q0CYP4,True,96.88
A1DEC4,True,66.38
Q9SUA4,True,86.88
I1RNL0,True,93.0
G7LCC3,True,75.75
S4W4F3,True,97.19
A1IIX4,True,97.31
Q9UAY4,True,85.94
P9WLN6,True,88.69
Q9SJM7,True,94.19
O94584,True,83.75
P0CH94,True,93.69
Q9C107,True,83.69
P42882,True,96.06
O60130,True,65.69
Q3ZBR5,True,77.38
A0A1U8QYA8,True,95.06
A0A3G9JYH7,True,91.0
Q7S5W9,True,94.19
B6HCY4,True,94.88
Q00578,True,71.69
Q9L9D7,True,98.44
Q54DA9,True,93.25
Q2UKV4,True,96.06
Q55C17,True,93.12
C3UVB0,True,97.44
G2X9I0,True,86.06
O74776,True,81.56
E5A0U8,True,77.25
Q10723,True,86.56
O59814,True,81.62
